****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Sun Mar 31 22:33:05 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
  text_out_reg_77_ (WDDLDFFMS)        4.47e-06 1.02e-07 2.04e-09  4.58e-06   0.1
  text_out_reg_109_ (WDDLDFFMS)       5.83e-06 2.04e-07 2.15e-09  6.04e-06   0.1
  sa10_reg_6_ (WDDLDFFMS)             5.30e-06 3.22e-07 2.05e-09  5.62e-06   0.1
  sa00_reg_1_ (WDDLDFFMS)             5.89e-06 2.30e-06 2.11e-09  8.20e-06   0.1
  sa31_reg_6_ (WDDLDFFMS)             6.96e-06 6.25e-07 2.15e-09  7.58e-06   0.1
  sa21_reg_1_ (WDDLDFFMS)             6.07e-06 1.92e-06 2.09e-09  7.99e-06   0.1
  text_out_reg_38_ (WDDLDFFMS)        4.53e-06 1.21e-07 2.04e-09  4.66e-06   0.1
  text_out_reg_78_ (WDDLDFFMS)        5.86e-06 2.04e-07 2.12e-09  6.07e-06   0.1
  sa10_reg_7_ (WDDLDFFMS)             5.04e-06 1.13e-06 2.05e-09  6.17e-06   0.1
  sa00_reg_2_ (WDDLDFFMS)             5.33e-06 9.63e-07 2.08e-09  6.30e-06   0.1
  sa31_reg_7_ (WDDLDFFMS)             6.45e-06 1.98e-06 2.15e-09  8.43e-06   0.1
  sa21_reg_2_ (WDDLDFFMS)             5.47e-06 5.97e-07 2.05e-09  6.07e-06   0.1
  text_out_reg_39_ (WDDLDFFMS)        4.57e-06 1.70e-07 2.07e-09  4.74e-06   0.1
  text_out_reg_79_ (WDDLDFFMS)        5.35e-06 2.04e-07 2.11e-09  5.56e-06   0.1
  sa00_reg_3_ (WDDLDFFMS)             5.21e-06 9.32e-07 2.08e-09  6.15e-06   0.1
  sa21_reg_3_ (WDDLDFFMS)             6.81e-06 1.30e-06 2.14e-09  8.12e-06   0.1
  text_out_reg_20_ (WDDLDFFMS)        5.68e-06 2.04e-07 2.12e-09  5.89e-06   0.1
  text_out_reg_60_ (WDDLDFFMS)        5.22e-06 1.55e-07 2.09e-09  5.38e-06   0.1
  sa00_reg_4_ (WDDLDFFMS)             6.47e-06 1.02e-06 2.13e-09  7.50e-06   0.1
  sa21_reg_4_ (WDDLDFFMS)             6.10e-06 8.38e-07 2.11e-09  6.94e-06   0.1
  text_out_reg_21_ (WDDLDFFMS)        5.00e-06 1.70e-07 2.11e-09  5.17e-06   0.1
  text_out_reg_61_ (WDDLDFFMS)        5.14e-06 1.36e-07 2.08e-09  5.28e-06   0.1
  sa00_reg_5_ (WDDLDFFMS)             6.12e-06 6.99e-07 2.12e-09  6.82e-06   0.1
  sa21_reg_5_ (WDDLDFFMS)             6.13e-06 4.99e-07 2.09e-09  6.63e-06   0.1
  sa11_reg_0_ (WDDLDFFMS)             6.33e-06 5.97e-07 2.10e-09  6.93e-06   0.1
  text_out_reg_22_ (WDDLDFFMS)        5.16e-06 1.55e-07 2.08e-09  5.32e-06   0.1
  sa32_reg_0_ (WDDLDFFMS)             5.81e-06 4.62e-07 2.09e-09  6.27e-06   0.1
  text_out_reg_62_ (WDDLDFFMS)        4.61e-06 1.02e-07 2.05e-09  4.72e-06   0.1
  sa00_reg_6_ (WDDLDFFMS)             5.52e-06 3.22e-07 2.04e-09  5.84e-06   0.1
  sa21_reg_6_ (WDDLDFFMS)             5.11e-06 2.41e-07 2.02e-09  5.35e-06   0.1
  sa11_reg_1_ (WDDLDFFMS)             6.09e-06 1.92e-06 2.09e-09  8.01e-06   0.1
  text_out_reg_23_ (WDDLDFFMS)        4.70e-06 1.21e-07 2.04e-09  4.82e-06   0.1
  sa32_reg_1_ (WDDLDFFMS)             5.93e-06 1.92e-06 2.10e-09  7.85e-06   0.1
  text_out_reg_63_ (WDDLDFFMS)        4.42e-06 1.36e-07 2.06e-09  4.56e-06   0.1
  sa00_reg_7_ (WDDLDFFMS)             5.72e-06 1.15e-06 2.08e-09  6.87e-06   0.1
  sa21_reg_7_ (WDDLDFFMS)             5.77e-06 1.69e-06 2.08e-09  7.47e-06   0.1
  us00 (aes_sbox_19)                  4.50e-05 8.67e-05 7.26e-08  1.32e-04   2.2
  us01 (aes_sbox_18)                  5.04e-05 9.64e-05 7.30e-08  1.47e-04   2.4
  us02 (aes_sbox_17)                  4.67e-05 8.93e-05 7.34e-08  1.36e-04   2.2
  us03 (aes_sbox_16)                  4.23e-05 8.21e-05 7.26e-08  1.24e-04   2.0
  sa11_reg_2_ (WDDLDFFMS)             6.23e-06 9.63e-07 2.08e-09  7.20e-06   0.1
  text_out_reg_24_ (WDDLDFFMS)        4.65e-06 1.36e-07 2.08e-09  4.78e-06   0.1
  sa32_reg_2_ (WDDLDFFMS)             6.12e-06 9.63e-07 2.10e-09  7.08e-06   0.1
  text_out_reg_64_ (WDDLDFFMS)        4.83e-06 1.36e-07 2.07e-09  4.96e-06   0.1
  us10 (aes_sbox_15)                  4.65e-05 8.87e-05 7.28e-08  1.35e-04   2.2
  us11 (aes_sbox_14)                  4.55e-05 8.81e-05 7.29e-08  1.34e-04   2.2
  us12 (aes_sbox_13)                  4.52e-05 8.91e-05 7.25e-08  1.34e-04   2.2
  us13 (aes_sbox_12)                  4.85e-05 9.41e-05 7.32e-08  1.43e-04   2.3
  sa11_reg_3_ (WDDLDFFMS)             6.39e-06 7.45e-07 2.06e-09  7.14e-06   0.1
  text_out_reg_25_ (WDDLDFFMS)        4.49e-06 1.02e-07 2.06e-09  4.60e-06   0.1
  sa32_reg_3_ (WDDLDFFMS)             4.93e-06 3.73e-07 2.00e-09  5.30e-06   0.1
  text_out_reg_65_ (WDDLDFFMS)        5.54e-06 2.38e-07 2.12e-09  5.78e-06   0.1
  us20 (aes_sbox_11)                  4.71e-05 9.13e-05 7.29e-08  1.38e-04   2.3
  us21 (aes_sbox_10)                  4.63e-05 8.99e-05 7.28e-08  1.36e-04   2.2
  us22 (aes_sbox_9)                   4.19e-05 8.05e-05 7.31e-08  1.22e-04   2.0
  us23 (aes_sbox_8)                   1.63e-04 1.95e-04 1.57e-07  3.58e-04   5.9
    U257 (WDDLINV)                    1.07e-06 3.11e-06 1.20e-09  4.18e-06   0.1
    U259 (WDDLNOR2X)                  2.45e-06 2.28e-06 2.31e-09  4.74e-06   0.1
    U165 (WDDLNOR2X)                  3.36e-06 2.73e-06 2.33e-09  6.09e-06   0.1
    U262 (WDDLNOR2X)                  2.73e-06 2.94e-06 2.32e-09  5.67e-06   0.1
    U174 (WDDLNOR2X)                  2.00e-06 1.60e-06 2.34e-09  3.60e-06   0.1
    U177 (WDDLNAND2X)                 3.11e-06 2.58e-06 2.30e-09  5.70e-06   0.1
    U178 (WDDLNOR2X)                  2.01e-06 1.64e-06 2.33e-09  3.65e-06   0.1
    U179 (WDDLNOR2X)                  2.05e-06 1.54e-06 2.33e-09  3.60e-06   0.1
    U271 (WDDLNOR2X)                  2.54e-06 2.87e-06 2.32e-09  5.41e-06   0.1
    U277 (WDDLNOR2X)                  2.43e-06 2.28e-06 2.32e-09  4.71e-06   0.1
    U180 (WDDLNAND2X)                 3.26e-06 2.74e-06 2.34e-09  6.00e-06   0.1
    U188 (WDDLNAND2X)                 1.94e-06 1.26e-06 2.25e-09  3.20e-06   0.1
    U280 (WDDLNAND2X)                 2.36e-06 1.85e-06 2.25e-09  4.21e-06   0.1
    U284 (WDDLNAND2X)                 2.57e-06 2.23e-06 2.32e-09  4.80e-06   0.1
    U286 (WDDLNAND2X)                 2.66e-06 2.52e-06 2.27e-09  5.19e-06   0.1
    U194 (WDDLNOR2X)                  1.98e-06 1.39e-06 2.32e-09  3.37e-06   0.1
    U199 (WDDLNOR2X)                  2.18e-06 1.92e-06 2.32e-09  4.10e-06   0.1
    U292 (WDDLNOR2X)                  2.37e-06 2.20e-06 2.32e-09  4.57e-06   0.1
    U294 (WDDLNAND2X)                 2.49e-06 2.14e-06 2.27e-09  4.63e-06   0.1
    U298 (WDDLINV)                    2.05e-06 2.73e-06 1.19e-09  4.78e-06   0.1
    U8 (WDDLINV)                      1.99e-06 3.88e-06 1.18e-09  5.87e-06   0.1
    U200 (WDDLNAND2X)                 2.23e-06 1.75e-06 2.29e-09  3.98e-06   0.1
    U201 (WDDLNAND2X)                 2.18e-06 1.50e-06 2.28e-09  3.68e-06   0.1
    U308 (WDDLINV)                    2.05e-06 2.90e-06 1.19e-09  4.95e-06   0.1
    U211 (WDDLNOR2X)                  2.63e-06 3.20e-06 2.34e-09  5.82e-06   0.1
    U18 (WDDLNOR2X)                   3.41e-06 3.38e-06 2.34e-09  6.79e-06   0.1
    U214 (WDDLNOR2X)                  2.60e-06 3.41e-06 2.33e-09  6.01e-06   0.1
    U215 (WDDLNAND2X)                 2.42e-06 2.31e-06 2.23e-09  4.73e-06   0.1
    U310 (WDDLNAND2X)                 4.09e-06 3.37e-06 2.31e-09  7.46e-06   0.1
    U316 (WDDLINV)                    1.31e-06 1.71e-06 1.21e-09  3.02e-06   0.0
    U121 (WDDLNAND2X)                 3.73e-06 2.82e-06 2.31e-09  6.55e-06   0.1
    U20 (WDDLNAND2X)                  2.24e-06 1.63e-06 2.26e-09  3.88e-06   0.1
    U21 (WDDLNOR2X)                   2.67e-06 2.82e-06 2.32e-09  5.49e-06   0.1
    U22 (WDDLNOR2X)                   2.19e-06 2.25e-06 2.32e-09  4.45e-06   0.1
    U23 (WDDLNAND2X)                  3.06e-06 2.75e-06 2.30e-09  5.81e-06   0.1
    U26 (WDDLNOR2X)                   2.06e-06 2.30e-06 2.32e-09  4.36e-06   0.1
    U27 (WDDLNOR2X)                   2.02e-06 1.82e-06 2.32e-09  3.84e-06   0.1
    U29 (WDDLNAND2X)                  1.91e-06 1.46e-06 2.25e-09  3.37e-06   0.1
    U234 (WDDLNAND2X)                 1.98e-06 1.92e-06 2.30e-09  3.89e-06   0.1
    U332 (WDDLINV)                    1.26e-06 1.35e-06 1.22e-09  2.61e-06   0.0
    U338 (WDDLNOR2X)                  3.81e-06 3.24e-06 2.33e-09  7.05e-06   0.1
    U148 (WDDLINV)                    1.46e-06 1.94e-06 1.18e-09  3.40e-06   0.1
    U342 (WDDLNOR2X)                  2.43e-06 2.47e-06 2.32e-09  4.90e-06   0.1
  sa11_reg_4_ (WDDLDFFMS)             7.08e-06 1.02e-06 2.15e-09  8.10e-06   0.1
  text_out_reg_26_ (WDDLDFFMS)        4.63e-06 1.70e-07 2.09e-09  4.80e-06   0.1
  sa32_reg_4_ (WDDLDFFMS)             5.61e-06 6.23e-07 2.06e-09  6.23e-06   0.1
  text_out_reg_66_ (WDDLDFFMS)        4.49e-06 1.36e-07 2.05e-09  4.63e-06   0.1
  us30 (aes_sbox_7)                   4.14e-05 8.29e-05 7.15e-08  1.24e-04   2.0
  us31 (aes_sbox_6)                   4.72e-05 9.20e-05 7.07e-08  1.39e-04   2.3
  us32 (aes_sbox_5)                   4.10e-05 8.10e-05 7.14e-08  1.22e-04   2.0
  us33 (aes_sbox_4)                   4.54e-05 8.90e-05 7.15e-08  1.34e-04   2.2
  sa11_reg_5_ (WDDLDFFMS)             6.57e-06 6.99e-07 2.13e-09  7.27e-06   0.1
  sa01_reg_0_ (WDDLDFFMS)             6.09e-06 4.98e-07 2.09e-09  6.59e-06   0.1
  text_out_reg_27_ (WDDLDFFMS)        4.88e-06 1.55e-07 2.07e-09  5.04e-06   0.1
  sa32_reg_5_ (WDDLDFFMS)             5.77e-06 4.19e-07 2.08e-09  6.19e-06   0.1
  sa22_reg_0_ (WDDLDFFMS)             6.36e-06 5.97e-07 2.10e-09  6.96e-06   0.1
  text_out_reg_67_ (WDDLDFFMS)        5.40e-06 1.70e-07 2.10e-09  5.57e-06   0.1
  sa11_reg_6_ (WDDLDFFMS)             5.37e-06 3.41e-07 2.06e-09  5.71e-06   0.1
  sa01_reg_1_ (WDDLDFFMS)             6.61e-06 2.69e-06 2.14e-09  9.30e-06   0.2
  text_out_reg_28_ (WDDLDFFMS)        4.92e-06 1.89e-07 2.12e-09  5.11e-06   0.1
  sa32_reg_6_ (WDDLDFFMS)             6.52e-06 6.25e-07 2.15e-09  7.14e-06   0.1
  sa22_reg_1_ (WDDLDFFMS)             6.11e-06 1.54e-06 2.10e-09  7.64e-06   0.1
  text_out_reg_68_ (WDDLDFFMS)        4.56e-06 1.21e-07 2.06e-09  4.68e-06   0.1
  sa11_reg_7_ (WDDLDFFMS)             5.61e-06 1.41e-06 2.05e-09  7.02e-06   0.1
  sa01_reg_2_ (WDDLDFFMS)             5.92e-06 1.16e-06 2.09e-09  7.07e-06   0.1
  text_out_reg_29_ (WDDLDFFMS)        5.04e-06 1.89e-07 2.10e-09  5.23e-06   0.1
  sa32_reg_7_ (WDDLDFFMS)             6.02e-06 1.41e-06 2.11e-09  7.43e-06   0.1
  text_out_reg_120_ (WDDLDFFMS)       4.73e-06 1.70e-07 2.08e-09  4.90e-06   0.1
  sa22_reg_2_ (WDDLDFFMS)             6.18e-06 9.63e-07 2.11e-09  7.14e-06   0.1
  text_out_reg_69_ (WDDLDFFMS)        5.09e-06 1.70e-07 2.10e-09  5.26e-06   0.1
  sa01_reg_3_ (WDDLDFFMS)             5.41e-06 7.45e-07 2.04e-09  6.15e-06   0.1
  text_out_reg_121_ (WDDLDFFMS)       4.89e-06 1.70e-07 2.08e-09  5.06e-06   0.1
  text_out_reg_10_ (WDDLDFFMS)        5.48e-06 1.89e-07 2.11e-09  5.67e-06   0.1
  sa22_reg_3_ (WDDLDFFMS)             5.32e-06 7.45e-07 2.06e-09  6.06e-06   0.1
  text_out_reg_50_ (WDDLDFFMS)        4.88e-06 1.55e-07 2.07e-09  5.03e-06   0.1
  sa01_reg_4_ (WDDLDFFMS)             6.28e-06 1.01e-06 2.11e-09  7.29e-06   0.1
  text_out_reg_90_ (WDDLDFFMS)        4.00e-06 1.02e-07 2.01e-09  4.10e-06   0.1
  text_out_reg_122_ (WDDLDFFMS)       5.01e-06 1.89e-07 2.09e-09  5.20e-06   0.1
  text_out_reg_11_ (WDDLDFFMS)        4.04e-06 6.80e-08 2.04e-09  4.11e-06   0.1
  sa22_reg_4_ (WDDLDFFMS)             5.25e-06 8.38e-07 2.06e-09  6.09e-06   0.1
  text_out_reg_51_ (WDDLDFFMS)        5.54e-06 1.89e-07 2.12e-09  5.73e-06   0.1
  sa01_reg_5_ (WDDLDFFMS)             6.04e-06 4.99e-07 2.10e-09  6.55e-06   0.1
  text_out_reg_91_ (WDDLDFFMS)        5.88e-06 2.04e-07 2.11e-09  6.09e-06   0.1
  text_out_reg_123_ (WDDLDFFMS)       5.32e-06 1.70e-07 2.09e-09  5.49e-06   0.1
  text_out_reg_12_ (WDDLDFFMS)        4.95e-06 1.70e-07 2.07e-09  5.12e-06   0.1
  sa22_reg_5_ (WDDLDFFMS)             5.88e-06 4.99e-07 2.07e-09  6.38e-06   0.1
  sa12_reg_0_ (WDDLDFFMS)             6.00e-06 5.97e-07 2.12e-09  6.60e-06   0.1
  text_out_reg_52_ (WDDLDFFMS)        4.13e-06 1.02e-07 2.05e-09  4.23e-06   0.1
  sa33_reg_0_ (WDDLDFFMS)             5.92e-06 6.64e-07 2.09e-09  6.59e-06   0.1
  sa01_reg_6_ (WDDLDFFMS)             6.09e-06 4.02e-07 2.09e-09  6.50e-06   0.1
  text_out_reg_92_ (WDDLDFFMS)        5.43e-06 1.70e-07 2.09e-09  5.60e-06   0.1
  text_out_reg_124_ (WDDLDFFMS)       4.68e-06 1.02e-07 2.02e-09  4.78e-06   0.1
  text_out_reg_13_ (WDDLDFFMS)        5.24e-06 1.70e-07 2.11e-09  5.41e-06   0.1
  sa22_reg_6_ (WDDLDFFMS)             6.05e-06 4.83e-07 2.10e-09  6.53e-06   0.1
  sa12_reg_1_ (WDDLDFFMS)             6.18e-06 2.30e-06 2.10e-09  8.49e-06   0.1
  text_out_reg_53_ (WDDLDFFMS)        5.01e-06 1.70e-07 2.05e-09  5.19e-06   0.1
  sa33_reg_1_ (WDDLDFFMS)             6.29e-06 1.94e-06 2.12e-09  8.23e-06   0.1
  sa01_reg_7_ (WDDLDFFMS)             6.00e-06 1.69e-06 2.09e-09  7.70e-06   0.1
  text_out_reg_93_ (WDDLDFFMS)        5.80e-06 2.23e-07 2.13e-09  6.02e-06   0.1
  text_out_reg_125_ (WDDLDFFMS)       4.70e-06 1.55e-07 2.07e-09  4.86e-06   0.1
  text_out_reg_14_ (WDDLDFFMS)        4.38e-06 1.36e-07 2.06e-09  4.52e-06   0.1
  sa22_reg_7_ (WDDLDFFMS)             5.21e-06 1.13e-06 2.06e-09  6.34e-06   0.1
  sa12_reg_2_ (WDDLDFFMS)             4.88e-06 7.70e-07 2.03e-09  5.66e-06   0.1
  text_out_reg_54_ (WDDLDFFMS)        5.17e-06 1.55e-07 2.10e-09  5.33e-06   0.1
  sa33_reg_2_ (WDDLDFFMS)             5.43e-06 7.70e-07 2.07e-09  6.20e-06   0.1
  text_out_reg_94_ (WDDLDFFMS)        5.12e-06 1.70e-07 2.10e-09  5.29e-06   0.1
  text_out_reg_126_ (WDDLDFFMS)       5.70e-06 1.89e-07 2.12e-09  5.89e-06   0.1
  text_out_reg_15_ (WDDLDFFMS)        4.68e-06 1.70e-07 2.08e-09  4.85e-06   0.1
  sa12_reg_3_ (WDDLDFFMS)             6.36e-06 1.12e-06 2.10e-09  7.48e-06   0.1
  U1373 (WDDLNANDCOMP)                4.52e-06 2.65e-06 3.06e-09  7.17e-06   0.1
  text_out_reg_55_ (WDDLDFFMS)        5.27e-06 1.89e-07 2.12e-09  5.46e-06   0.1
  sa33_reg_3_ (WDDLDFFMS)             5.84e-06 7.65e-07 2.07e-09  6.60e-06   0.1
  text_out_reg_95_ (WDDLDFFMS)        4.61e-06 1.21e-07 2.07e-09  4.73e-06   0.1
  text_out_reg_127_ (WDDLDFFMS)       5.83e-06 2.04e-07 2.14e-09  6.03e-06   0.1
  text_out_reg_16_ (WDDLDFFMS)        5.12e-06 1.70e-07 2.09e-09  5.29e-06   0.1
  sa12_reg_4_ (WDDLDFFMS)             6.00e-06 1.01e-06 2.11e-09  7.00e-06   0.1
  text_out_reg_56_ (WDDLDFFMS)        4.55e-06 1.55e-07 2.06e-09  4.71e-06   0.1
  sa33_reg_4_ (WDDLDFFMS)             5.05e-06 7.79e-07 2.04e-09  5.83e-06   0.1
  text_out_reg_96_ (WDDLDFFMS)        5.04e-06 1.36e-07 2.09e-09  5.18e-06   0.1
  text_out_reg_17_ (WDDLDFFMS)        5.22e-06 1.70e-07 2.08e-09  5.39e-06   0.1
  sa12_reg_5_ (WDDLDFFMS)             5.80e-06 4.19e-07 2.09e-09  6.22e-06   0.1
  sa02_reg_0_ (WDDLDFFMS)             5.65e-06 5.97e-07 2.09e-09  6.25e-06   0.1
  text_out_reg_57_ (WDDLDFFMS)        5.57e-06 2.04e-07 2.10e-09  5.78e-06   0.1
  sa33_reg_5_ (WDDLDFFMS)             6.28e-06 5.99e-07 2.14e-09  6.88e-06   0.1
  sa23_reg_0_ (WDDLDFFMS)             5.91e-06 5.97e-07 2.11e-09  6.51e-06   0.1
  text_out_reg_97_ (WDDLDFFMS)        4.55e-06 1.36e-07 2.04e-09  4.68e-06   0.1
  text_out_reg_18_ (WDDLDFFMS)        5.21e-06 1.55e-07 2.10e-09  5.37e-06   0.1
  sa12_reg_6_ (WDDLDFFMS)             6.14e-06 4.22e-07 2.10e-09  6.56e-06   0.1
  sa02_reg_1_ (WDDLDFFMS)             5.97e-06 2.69e-06 2.13e-09  8.66e-06   0.1
  text_out_reg_58_ (WDDLDFFMS)        4.68e-06 1.70e-07 2.06e-09  4.85e-06   0.1
  sa33_reg_6_ (WDDLDFFMS)             5.58e-06 3.57e-07 2.07e-09  5.94e-06   0.1
  sa23_reg_1_ (WDDLDFFHQX2)           1.23e-05 3.56e-06 6.66e-09  1.58e-05   0.3
    m1 (MUX2X)                        7.92e-07 7.82e-07 8.48e-10  1.57e-06   0.0
    m2 (MUX2X)                        6.95e-07 6.84e-07 8.63e-10  1.38e-06   0.0
  text_out_reg_98_ (WDDLDFFMS)        5.22e-06 1.70e-07 2.11e-09  5.39e-06   0.1
  text_out_reg_19_ (WDDLDFFMS)        4.97e-06 1.55e-07 2.09e-09  5.13e-06   0.1
  text_out_reg_110_ (WDDLDFFMS)       4.73e-06 1.36e-07 2.06e-09  4.87e-06   0.1
  sa12_reg_7_ (WDDLDFFMS)             5.45e-06 1.15e-06 2.07e-09  6.60e-06   0.1
  sa02_reg_2_ (WDDLDFFMS)             4.41e-06 5.78e-07 2.01e-09  4.99e-06   0.1
  text_out_reg_59_ (WDDLDFFMS)        6.36e-06 2.38e-07 2.16e-09  6.60e-06   0.1
  sa33_reg_7_ (WDDLDFFMS)             5.80e-06 1.69e-06 2.11e-09  7.49e-06   0.1
  sa23_reg_2_ (WDDLDFFMS)             5.83e-06 1.16e-06 2.12e-09  6.99e-06   0.1
  text_out_reg_99_ (WDDLDFFMS)        5.19e-06 1.89e-07 2.11e-09  5.39e-06   0.1
  text_out_reg_111_ (WDDLDFFMS)       4.49e-06 1.02e-07 2.04e-09  4.60e-06   0.1
  sa02_reg_3_ (WDDLDFFMS)             6.29e-06 1.14e-06 2.12e-09  7.43e-06   0.1
  sa23_reg_3_ (WDDLDFFMS)             5.77e-06 1.11e-06 2.08e-09  6.88e-06   0.1
  text_out_reg_40_ (WDDLDFFMS)        5.04e-06 1.36e-07 2.09e-09  5.18e-06   0.1
  text_out_reg_80_ (WDDLDFFMS)        5.63e-06 2.23e-07 2.11e-09  5.85e-06   0.1
  text_out_reg_112_ (WDDLDFFMS)       5.23e-06 1.70e-07 2.12e-09  5.40e-06   0.1
  sa02_reg_4_ (WDDLDFFMS)             5.66e-06 8.38e-07 2.05e-09  6.50e-06   0.1
  sa23_reg_4_ (WDDLDFFMS)             6.07e-06 9.35e-07 2.10e-09  7.01e-06   0.1
  text_out_reg_41_ (WDDLDFFMS)        5.18e-06 1.36e-07 2.07e-09  5.31e-06   0.1
  text_out_reg_81_ (WDDLDFFMS)        4.73e-06 1.21e-07 2.06e-09  4.86e-06   0.1
  text_out_reg_113_ (WDDLDFFMS)       5.51e-06 2.04e-07 2.10e-09  5.71e-06   0.1
  sa30_reg_0_ (WDDLDFFMS)             5.74e-06 6.64e-07 2.10e-09  6.41e-06   0.1
  sa02_reg_5_ (WDDLDFFMS)             6.26e-06 5.19e-07 2.12e-09  6.78e-06   0.1
  sa23_reg_5_ (WDDLDFFMS)             4.68e-06 3.00e-07 2.05e-09  4.98e-06   0.1
